"masterpiece, illustration,best quality,delicate details,refined rendering,hand by Guido Daniele",0,5000,插画风起手式
"extremely detailed CG unity 8k wallpaper,realistic,hand by Guido Daniele",0,5000,CG风起手式
"a professional photography of a handsome man with [silver|blue]hair wear suit walking on street, 85mm lens, front view, halfbody shot, photograhpy, sharp focus, HD, 8k",0,5000,半身特写起手式
"professional photography,birds eye view,masterpiece, illustratio,HD,8k,high quality,",0,5000,鸟瞰风景
"fantasy color,jandscape,professional photography,fantasy,24mm lens,birds eye view, photograhpy, HD, 8k,a painting of a beautiful landscape background,color field,psychedelic art,fantasy style illustration,bright colors,ultra wide angle,",0,5000,缤纷的风景
"ugly,bad_anatomy,bad_hands,extra_hands,missing_fingers,broken hand,more than two hands,well proportioned hands,more than two legs,unclear eyes,missing_arms,mutilated,extra limbs,extra legs,cloned face,fused fingers,extra_digit, fewer_digits,extra_digits,jpeg_artifacts,signature,watermark,username,blurry,large_breasts,worst_quality,low_quality,normal_quality,mirror image, Vague",0,5000,恐怖的人体结构
"Low Res, High Res, Worst Quality, Low Quality, Normal Quality, blurry,Repeated, Distorted, Mirrored, Symmetrical, JPG Artifacts,watermark,signature,username,artist name",0,5000,丑陋的风景
"highest quality,masterpiece,hand of Guido Daniele,blue_hair, 1girl, (rem_\(re:zero\)),solo,maid, short_hair, detached_sleeves, roswaal_mansion_maid_uniform, white_legwear, skirt,beautiful sunset,falling petals,upper body,85mm lens,8K,HD,(family friendly),Smile,CG,outside roswaal_mansion,x hairpin,spread_arms,welcome,pink lips,beautiful ribbon,bangs cover the right eye,beautiful hands",0,5000,雷姆
eye details,0,5000,眼部细节
ink,0,5000,墨水
color pencil,0,5000,色铅笔
charcoal drawing,0,5000,炭笔画
water color,0,5000,水彩
painting,0,5000,油画
pencil drawing,0,5000,铅笔画
paint spray,0,5000,喷漆
finger painting,0,5000,指画
electric drawing,0,5000,电绘
2B pencil,0,5000,2B铅笔
crayon,0,5000,蜡笔
sand painting,0,5000,沙画
pen drawing,0,5000,钢笔画
chalk grawing,0,5000,粉笔画
stone statue,0,5000,石雕
oil paint,0,5000,油性颜料
metal plate painting,0,5000,金属板画
blue ballpoint pen,0,5000,蓝原子笔
impasto,0,5000,厚涂
cartoon style illustration,0,5000,卡通风格插画
old movie style,0,5000,老电影风格
animation style,0,5000,动画风格
comics style,0,5000,漫画风格
fantasy style illustration,0,5000,幻想风格
academic art,0,5000,学院艺术
arti realism,0,5000,唯美主义
line drawing  style illustration,0,5000,线条画风插画
retro  style illustration,0,5000,复古风格插画
sketch,0,5000,速写
hand draw style illustration,0,5000,手绘风格插画
color block style illustration,0,5000,色块风格插画
future  style illustration,0,5000,未来风格插画
modern Art,0,5000,现代艺术
game CG,0,5000,CG
realistic,0,5000,写实风格
Black and white photo,0,5000,黑白照片
tachi-e,0,5000,立绘
AI cyborg,0,5000,AI电子人
cyberpunk art,0,5000,赛博庞克艺术
psychedelic,0,5000,迷幻的
funky,0,5000,放克风
Xerox art,0,5000,复印艺术
color field,0,5000,色域绘画
matte painting,0,5000,哑光绘画
wide angle,0,5000,广角
depth of field blur,0,5000,景深模糊
depth of field,0,5000,景深
macro lens,0,5000,微距镜头
fisheye lens,0,5000,鱼眼镜头
85mm long lens,0,5000,"85mm长镜头(85-135mm),近景人像"
close-up portrait,0,5000,近景人像
24mm wide-angle lens,0,5000,"24mm广角镜头(24-35mm),广角人像"
wide angle portrait,0,5000,广角人像
70mm telephoto lens,0,5000,"70mm望远镜头(70-200mm),远景人像,长焦风景"
long view portrait,0,5000,远景人像
face close-up,0,5000,脸部特写
14mm wide angle lens,0,5000,"14mm广角镜头(14-25),广角风景"
panoramic landscape,0,5000,全景风景
far close-up,0,5000,长特写
vignette,0,5000,晕映
high definition,0,5000,高清晰度
half face close-up,0,5000,半脸特写
gopro view,0,5000,gopro视角
ultra wide angle,0,5000,超广角
aerial view,0,5000,空拍
birds eye view,0,5000,鸟瞰
cinematic lighting,0,5000,电影灯光
lens flare,0,5000,镜头光晕
light leaks,0,5000,漏光
indoor light,0,5000,室内光线
glow,0,5000,光辉
deep glow,0,5000,深光
polygonal flare light,0,5000,多边形耀斑光
neon lights,0,5000,霓虹灯
spotlight,0,5000,聚光灯
sunshine,0,5000,太阳光
reflected light,0,5000,反射光
scattered light,0,5000,散射光
refracted light,0,5000,折射光
cast light,0,5000,投射光
shading,0,5000,遮光
natural light,0,5000,自然光
glass material,0,5000,玻璃材质
copper,0,5000,铜材质
stone carving,0,5000,石材雕刻
silk canvas,0,5000,丝绸画布
crystal material,0,5000,水晶材质
Metal Material,0,5000,金属材质
precision instrument,0,5000,精密仪器
filigree,0,5000,花丝
suede,0,5000,麂皮
satin,0,5000,绸缎
pearl cellophane,0,5000,珠光玻璃纸
azure blue,0,5000,天空蓝
water blue,0,5000,水蓝色
aqua,0,5000,水色
sapphire blue,0,5000,宝石蓝
blue,0,5000,纯蓝
dark blue,0,5000,深蓝
navy,0,5000,海军蓝
royal blue,0,5000,宝蓝
dodger blue,0,5000,道奇蓝
light sky blue,0,5000,亮天蓝
deep sky blue,0,5000,深天蓝
cyan,0,5000,青色
light steel blue,0,5000,亮钢蓝
crimson,0,5000,深红色
pink,0,5000,粉红色
light pink,0,5000,亮粉红
hot pink,0,5000,热情粉红
lavender blush,0,5000,淡紫红
red,0,5000,红色
yellow,0,5000,纯黄
light goldenrod yellow,0,5000,亮菊黄
lemon chiffon,0,5000,柠檬黄
aquamarine,0,5000,碧绿
turquoise,0,5000,宝石绿
sea green,0,5000,海洋绿
lime,0,5000,闪光绿
green,0,5000,绿色
white,0,5000,白
detailed sunset glow,0,5000,详细的夕阳光
sunset,0,5000,夕阳
beautiful detailed sky,0,5000,美丽详细的天空
blue sky,0,5000,蓝天
in the rain,0,5000,在雨里
sunrise,0,5000,日出
rainy days,0,5000,下雨天
cloudy day,0,5000,阴天
glinting stars,0,5000,闪亮的星星
full moon,0,5000,满月
against backlight at dusk,0,5000,黄昏逆光
snowy,0,5000,雪
foggy day,0,5000,大雾天
thunderstorm,0,5000,暴风雨
night,0,5000,夜晚
light of waves,0,5000,波光粼粼
coast,0,5000,海岸
beautiful detailed water,0,5000,水的美丽细节
waves,0,5000,波浪
waves floating flow,0,5000,波浪漂浮流动
bay,0,5000,海湾
harbor,0,5000,海港
reef,0,5000,礁石
seascape,0,5000,海景
beach,0,5000,沙滩
sea spray,0,5000,海浪花
huge waves,0,5000,巨浪
surf,0,5000,冲浪
azure blue,0,5000,湛蓝
aquamarine,0,5000,浅绿
shimmering,0,5000,闪耀的
Storm,0,5000,风暴
cumulonimbus cloud,0,5000,积雨云
on the ocean,0,5000,在大海上
valley,0,5000,山谷
snow-capped mountain,0,5000,雪山
mount fuji,0,5000,富士山
mountain range,0,5000,群山
cliff,0,5000,悬崖
hill,0,5000,山丘
high mountain,0,5000,高山
precipitous,0,5000,陡峭
hillside,0,5000,山坡
volcano,0,5000,火山
sea of clouds,0,5000,云海
gorge,0,5000,溪谷
Lake,0,5000,湖泊
rapids,0,5000,激流
maple forest,0,5000,枫树林
mine forest,0,5000,针树林
cherry blossom forest,0,5000,樱花林
forest,0,5000,森林
blazing,0,5000,熊熊燃烧
candle flame,0,5000,烛火
flickering fire,0,5000,闪耀的火焰
explosion,0,5000,爆炸
combustion,0,5000,燃烧
green chemical flame,0,5000,绿色化学火焰
flames,0,5000,烈焰
will o' the wisp,0,5000,鬼火
campfire,0,5000,营火
fireworks Social,0,5000,社交烟火
industrial Fireworks,0,5000,工业烟火
Fireworks Game,0,5000,游戏烟火
meteor fireworks,0,5000,流星烟火
Flower Fireworks,0,5000,花火
castle,0,5000,城堡
minaret,0,5000,尖塔
street background,0,5000,街道背景
bus stop sign,0,5000,公车站牌
Japanese style porch,0,5000,日式缘廊
bar,0,5000,酒吧
Sweden is interior space,0,5000,瑞典式室内空间
cityscape,0,5000,城市风景
cyberpunk city,0,5000,赛博庞克城市
baroque architecture,0,5000,巴洛克建筑
rainy night in a cyberpunk city with glowing neon lights,0,5000,下雨的赛博庞克城市与霓虹灯
